# DLxJTK regulatory element scores computed on 2022-03-08 09:18:16
# pyDL file: /mnt/c/users/sophi/OneDrive/WIP/crypto/results/node_finding_20220308090355/pydl_results.tsv
# pyJTK file: /mnt/c/users/sophi/OneDrive/WIP/crypto/results/node_finding_20220308090355/pyjtk_results.tsv
	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
CNAG_07856	0.000962	0.0012797675665392665	0.0005842763650073882	0.0005842763650073882	2.6457181123476956e-06
CNAG_02864	0.000109	0.00014500484901536388	0.002949105775274055	0.002949105775274055	4.2340630026990284e-06
CNAG_05853	0.004289	0.005705741260797208	0.00028931903680911724	0.00028931903680911724	6.0029380662239113e-05
CNAG_06832	0.00999	0.01328989396021546	2.814707803468329e-05	2.814707803468329e-05	6.649573165673924e-05
CNAG_07990	0.0039829999999999996	0.0052986634277816	0.00041288822369205786	0.00041288822369205786	7.445498492551182e-05
CNAG_01903	0.019004	0.025281395877871333	4.793632417293383e-06	4.793632417293383e-06	7.75812572914547e-05
CNAG_01285	0.011332	0.015075183018734891	2.814707803468329e-05	2.814707803468329e-05	9.69330404575115e-05
CNAG_05387	0.00022799999999999999	0.00030331289518810065	0.00715476931376985	0.00715476931376985	0.00012368070650381257
CNAG_01372	0.009786	0.01301850873820505	6.368583927918117e-05	6.368583927918117e-05	0.00014191863897368686
CNAG_05911	0.006758	0.008990300638952559	0.00028931903680911724	0.00028931903680911724	0.00023064880159246788
CNAG_02563	0.017472	0.023243346073361808	1.8408027780551308e-05	1.8408027780551308e-05	0.0002316612919095927
CNAG_06087	0.01324	0.01761343303636163	4.256437478256426e-05	4.256437478256426e-05	0.0002337556158495663
CNAG_03477	0.007798	0.010373833143319336	0.00020096368569239319	0.00020096368569239319	0.00023558464140483932
CNAG_03212	0.011212999999999999	0.014916874972562156	9.432073996906e-05	9.432073996906e-05	0.00031727417147394923
CNAG_04655	0.023976	0.031895745504517105	1.1900284201002975e-05	1.1900284201002975e-05	0.0003865839219426381
CNAG_03715	0.01757	0.023373717405504063	4.256437478256426e-05	4.256437478256426e-05	0.0005455190728595606
CNAG_06623	0.0019199999999999998	0.002554213854215584	0.002949105775274055	0.002949105775274055	0.0005495969894709712
CNAG_06674	0.020295	0.02699883863088816	2.814707803468329e-05	2.814707803468329e-05	0.0005551468586512698
CNAG_06568	0.01217	0.016189990940522737	0.00013832846754815092	0.00013832846754815092	0.000600532792154093
CNAG_02413	0.024288	0.03231080525582713	1.8408027780551308e-05	1.8408027780551308e-05	0.000621746774452693
CNAG_03966	0.017397	0.023143572094681517	6.368583927918117e-05	6.368583927918117e-05	0.0007941490088711864
CNAG_02527	0.005077	0.006754033196798187	0.0011420362653821491	0.0011420362653821491	0.0008285449507230708
CNAG_06104	0.006613	0.008797404280170654	0.0008200890291560615	0.0008200890291560615	0.0009459719006365528
CNAG_07817	0.018615	0.024763901508449523	6.368583927918117e-05	6.368583927918117e-05	0.0009726701194137815
CNAG_00480	0.032667	0.04345755415398983	1.1900284201002975e-05	1.1900284201002975e-05	0.0009773375214448786
CNAG_00359	0.002395	0.003186115719190793	0.002949105775274055	0.002949105775274055	0.0010160759248157404
CNAG_04788	0.015102	0.02009048834706445	0.00013832846754815092	0.00013832846754815092	0.0011460123814202082
CNAG_07736	0.001846	0.0024557701952510245	0.00398915965652886	0.00398915965652886	0.0011649441908207427
CNAG_00179	0.005734	0.007628053250037581	0.0011420362653821491	0.0011420362653821491	0.001188092840407368
CNAG_01389	0.041388	0.05505927239493468	7.6007677090208664e-06	7.6007677090208664e-06	0.0012691623753506751
CNAG_03184	0.012116	0.016118153675872927	0.00028931903680911724	0.00028931903680911724	0.0013179612445776128
CNAG_03239	0.012351	0.016430778809071185	0.00028931903680911724	0.00028931903680911724	0.0013959454247921416
CNAG_04105	2.5e-05	3.325799289343208e-05	0.03565001790208913	0.03565001790208913	0.0015097219846806223
CNAG_01145	0.046219	0.06148604694166149	7.6007677090208664e-06	7.6007677090208664e-06	0.0017673685699243257
CNAG_05591	0.02665	0.035453020424398594	4.256437478256426e-05	4.256437478256426e-05	0.0019016801713163196
CNAG_02751	2e-06	2.6606394314745663e-06	0.0931842481503503	0.0931842481503503	0.002153112022747137
CNAG_05312	0.012423	0.016526561828604267	0.00041288822369205786	0.00041288822369205786	0.0021894245278553243
CNAG_02060	0.005549	0.007381944102626184	0.0015782932322102186	0.0015782932322102186	0.0022570878193535504
CNAG_00869	0.059083000000000004	0.0785992797649059	4.793632417293383e-06	4.793632417293383e-06	0.0023280950127368915
CNAG_07826	5e-06	6.6515985786864166e-06	0.07384724087003962	0.07384724087003962	0.0026793391918678707
CNAG_03655	0.02099	0.02792341083332557	0.00013832846754815092	0.00013832846754815092	0.003073301823564551
CNAG_05406	0.032912000000000004	0.043783482484345465	4.256437478256426e-05	4.256437478256426e-05	0.0035808799841247144
CNAG_02300	0.012977	0.017263558951122724	0.0005842763650073882	0.0005842763650073882	0.004045903797044215
CNAG_03776	0.034804	0.046300447386520414	4.256437478256426e-05	4.256437478256426e-05	0.004234386267927808
CNAG_01333	0.012606000000000001	0.01677001033658419	0.0008200890291560615	0.0008200890291560615	0.006492030914161919
CNAG_04245	0.012959	0.017239613196239453	0.0008200890291560615	0.0008200890291560615	0.007051482662355825
CNAG_06118	0.021335	0.02838237113525494	0.00028931903680911724	0.00028931903680911724	0.007177498356878869
CNAG_00442	0.0035399999999999997	0.004709331793709983	0.00398915965652886	0.00398915965652886	0.007364509314142237
CNAG_04479	0.04189	0.05572709289223479	4.256437478256426e-05	4.256437478256426e-05	0.007381954377462972
