# pyDL periodicity scores computed on 2022-03-08 09:17:54
# Calculation time:  837.654523 seconds
# Input files:  /mnt/c/users/sophi/OneDrive/WIP/crypto/data/crypto_rnaseq_norm_trim.tsv
# Period(s) of oscillation tested:  60.0000, 70.0000, 80.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  1
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
CNAG_00001	70.0	0.09810967700953872	2.0494290642070228	0.99967	1.3298807102310897	1e-06	1.0	1.3298807102310897	2352007703645.583
CNAG_00002	70.0	0.18719176075413552	2.8394347789464165	0.819398	1.0900613144356983	1e-06	1.0	1.0900613144356983	1295249940646.784
CNAG_00003	70.0	0.15595228756220098	2.5460002191971256	0.947941	1.2610646016557159	1e-06	1.0	1.2610646016557159	2005454036652.942
CNAG_00004	70.0	0.13633124521046452	2.4460590515327127	0.983949	1.3089667539799839	1e-06	1.0	1.3089667539799839	2242779285813.395
CNAG_00005	80.0	0.2182115570556645	1.0155306069712766	0.617942	0.8220604257821282	1e-06	1.0	0.8220604257821282	555536120802.7708
CNAG_00006	80.0	0.15651460288339258	1.4201011246190258	0.946489	1.2591329774284654	1e-06	1.0	1.2591329774284654	1996252641160.5198
CNAG_00007	80.0	0.12414874618774034	2.016701044596465	0.993688	1.3219227376915494	1e-06	1.0	1.3219227376915494	2310036813330.8286
CNAG_00008	60.0	0.16747930765877744	1.1804270347073806	0.910945	1.2118480934522995	1e-06	1.0	1.2118480934522995	1779693776804.0479
CNAG_00009	80.0	0.3985252544870142	4.716315388684237	0.025788	0.034306284829433056	1e-06	1.0	0.034306284829433056	40410139.87657166
CNAG_00010	80.0	0.18299064630300463	0.8081876524220751	0.841795	1.1198564851090662	1e-06	1.0	1.1198564851090662	1404390518209.4011
CNAG_00011	80.0	0.19679787538416585	1.768446205745672	0.763245	1.0153598714379026	1.0	1000000.0	1015359.8714379027	1.046792030413008e+30
CNAG_00012	80.0	0.2536622543125911	2.508955196155131	0.371463	0.4941645525669184	1e-06	1.0	0.4941645525669184	120674909223.38335
CNAG_00013	80.0	0.13308692923112644	1.8951528067057695	0.987275	1.3133913973545261	1e-06	1.0	1.3133913973545261	2265599750189.347
CNAG_00014	80.0	0.11231791705453131	1.599833831856954	0.998017	1.3276816917409762	1e-06	1.0	1.3276816917409762	2340359533608.056
CNAG_00015	80.0	0.19362129850974558	1.7183562636587733	0.782547	1.0410377025910638	1e-06	1.0	1.0410377025910638	1128236667457.3535
CNAG_00016	80.0	0.24481765148103568	2.166821456231511	0.429444	0.5712978200050818	1e-06	1.0	0.5712978200050818	186461625320.0472
