# pyJTK periodicity scores computed on 2022-03-08 09:17:55
# Calculation time: 0.001135 seconds
# Input file: /mnt/c/users/sophi/OneDrive/WIP/crypto/data/crypto_rnaseq_norm_trim.tsv
# Period(s) of oscillation tested: 60.0000, 70.0000, 80.0000
probe	p-value	amp	period	lag	tau
CNAG_00001	1.0	0.23699999999999988	70.95238095238095	31.797619047619047	-71.0
CNAG_00002	1.0	18.09825000000001	70.95238095238095	33.226190476190474	-81.0
CNAG_00003	1.0	3.3195000000000014	70.95238095238095	24.654761904761905	-45.0
CNAG_00004	1.0	5.824499999999996	70.95238095238095	24.654761904761905	-45.0
CNAG_00005	1.0	5.820000000000004	70.95238095238095	38.226190476190474	-59.0
CNAG_00006	0.07384724087003963	40.197750000000006	70.0	60.75	131.0
CNAG_00007	0.3407601255807152	24.067500000000024	80.0	47.75	117.0
CNAG_00008	1.0	1.3747500000000015	70.95238095238095	44.13095238095238	-53.0
CNAG_00009	0.009490433598653624	26.456999999999997	70.0	32.75	-147.0
CNAG_00010	1.0	9.390749999999995	70.95238095238095	29.416666666666668	-43.0
CNAG_00011	1.0	9.460500000000003	70.95238095238095	41.892857142857146	-37.0
CNAG_00012	1.0	21.43799999999999	70.95238095238095	43.083333333333336	-65.0
CNAG_00013	1.0	1.584	70.95238095238095	35.607142857142854	-103.0
CNAG_00014	1.0	1.2615000000000016	70.95238095238095	32.51190476190476	-87.0
CNAG_00015	1.0	2.178	70.95238095238095	36.083333333333336	-37.0
CNAG_00016	0.2776437018849706	22.455750000000002	80.0	67.75	119.0
CNAG_00017	1.0	0.5925	70.95238095238095	34.273809523809526	-73.0
CNAG_00018	1.0	3.1387500000000017	70.95238095238095	41.035714285714285	-39.0
CNAG_00019	0.0015782932322102184	60.95550000000004	80.0	69.75	159.0
CNAG_00020	0.378598407321394	8.192250000000001	70.0	2.75	-116.0
CNAG_00021	1.0	43.02375000000001	70.95238095238095	39.32142857142857	-71.0
CNAG_00022	1.0	48.37349999999999	70.95238095238095	44.36904761904762	-49.0
CNAG_00023	1.0	0.5977499999999998	70.95238095238095	22.273809523809526	-83.0
CNAG_00024	1.0	270.648	70.95238095238095	37.273809523809526	-57.0
CNAG_00025	0.005359873975059848	5.0625	80.0	22.75	-151.0
CNAG_00026	1.0	138.09675000000001	70.95238095238095	25.988095238095237	-57.0
CNAG_00027	1.0	4.287000000000001	70.95238095238095	43.892857142857146	-29.0
CNAG_00028	1.0	5.81925	70.95238095238095	26.988095238095237	-59.0
CNAG_00029	1.0	1.0057500000000008	70.95238095238095	22.75	-77.0
CNAG_00030	1.0	2.7495000000000003	70.95238095238095	33.17857142857143	-91.0
CNAG_00031	0.3407601255807152	2.4045000000000023	70.0	42.75	117.0
CNAG_00032	1.0	1.0102500000000003	70.95238095238095	33.17857142857143	-97.0
CNAG_00033	1.0	1.7595	70.95238095238095	34.892857142857146	-51.0
CNAG_00034	1.0	2410.7475000000013	70.95238095238095	35.70238095238095	-39.0
CNAG_00035	1.0	0.8220000000000001	70.95238095238095	29.13095238095238	-101.0
CNAG_00036	1.0	5.956499999999998	70.95238095238095	38.98809523809524	-41.0
CNAG_00038	1.0	9.082500000000001	70.95238095238095	25.55952380952381	-59.0
CNAG_00039	1.0	4.490250000000001	70.95238095238095	41.892857142857146	-57.0
CNAG_00040	1.0	165.28875	70.95238095238095	27.988095238095237	-53.0
CNAG_00043	1.0	2.278499999999999	70.95238095238095	34.273809523809526	-67.0
CNAG_00044	1.0	13.038750000000004	70.95238095238095	42.17857142857143	-33.0
CNAG_00045	1.0	2.75025	70.95238095238095	33.035714285714285	-57.0
CNAG_00046	1.0	86.9475	70.95238095238095	41.464285714285715	-53.0
CNAG_00047	1.0	2.4359999999999995	70.95238095238095	45.79761904761905	-43.0
CNAG_00048	0.8914012606101419	0.48449999999999993	70.0	37.75	107.0
CNAG_00049	0.4164366890620728	2.4457499999999994	80.0	32.75	-115.0
CNAG_00050	1.0	3.32475	70.95238095238095	42.98809523809524	-37.0
CNAG_00051	0.614209037252029	2.852999999999999	80.0	57.75	111.0
CNAG_00052	1.0	30.496499999999997	70.95238095238095	30.178571428571427	-55.0
CNAG_00053	0.002949105775274055	23.798250000000007	70.0	37.75	155.0
CNAG_00054	1.0	0.6247500000000001	70.95238095238095	24.75	-89.0
CNAG_00055	1.0	20.94825000000003	70.95238095238095	44.36904761904762	-43.0
CNAG_00056	1.0	3.3690000000000007	70.95238095238095	43.892857142857146	-92.0
CNAG_00057	1.0	100.65525	70.95238095238095	32.226190476190474	-61.0
CNAG_00058	1.0	71.86049999999997	70.95238095238095	38.083333333333336	-39.0
CNAG_00059	1.0	3.7440000000000007	70.95238095238095	31.797619047619047	-59.0
CNAG_00060	0.18189698446557426	9.300749999999997	80.0	70.25	123.0
CNAG_00061	1.0	326.8230000000001	70.95238095238095	38.416666666666664	-65.0
CNAG_00062	1.0	44.65349999999999	70.95238095238095	40.226190476190474	-39.0
