time_points	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230
CNAG_00001	0	5.69654	1.37744	0	0	0	1.05465	3.17676	3.076	2.7457	1.85268	0	0	0.943178	2.02139	2.36313	1.02406	0	1.84989	1.9685	5.17412	1.87471	2.58249	2.1093
CNAG_00002	369.89	618.644	1184.6	1215.74	720.424	623.345	667.595	847.137	709.532	546.394	548.392	481.29	485.924	514.975	608.438	760.142	567.328	532.859	504.096	557.085	613.133	602.719	630.989	640.174
CNAG_00003	351.199	415.847	491.746	372.009	273.454	299.515	295.303	296.498	301.448	237.045	192.678	195.423	220.733	219.76	232.46	232.375	264.207	269.347	263.61	239.172	263.88	254.961	230.703	249.952
CNAG_00004	1692.05	1166.65	951.811	718.45	690.772	815.653	766.732	797.367	769.001	777.948	598.415	670.253	565.481	595.145	564.979	638.046	583.713	541.611	620.639	592.518	622.619	563.35	598.278	687.633
CNAG_00005	498.761	530.917	619.848	490.898	329.462	370.249	562.129	649.119	707.481	716.627	647.511	566.081	528.042	635.702	664.027	646.711	649.253	625.235	663.187	708.659	769.219	860.492	872.022	796.262
CNAG_00006	2482	1679.34	1396.72	952.394	1316.75	1731.88	2449.96	2385.75	2403.38	2163.61	1416.37	1485.05	2166.77	2294.75	2323.59	1828.28	2229.37	2000.17	2004.36	2032.47	2158.47	2315.27	2063.41	2105.09
CNAG_00007	1233.62	1530.09	2000.04	2770.25	2903.66	3053.73	3442.38	3096.28	2062.97	2092.22	2453.87	2551	2661.27	2790.86	2400.4	2533.28	2134.14	2242.29	2215.25	2334.64	2349.05	2219.66	2252.8	2076.61
CNAG_00008	238.068	277.991	279.62	563.766	577.657	743.814	738.256	806.898	978.169	965.57	734.586	767.964	829.892	743.224	811.588	732.572	758.827	764.284	704.809	761.808	768.356	769.569	827.259	780.442
CNAG_00009	453.509	529.778	2659.84	3156.32	1467.2	526.085	288.975	216.02	402.957	798.998	1175.52	1264.6	900.09	683.804	750.946	824.734	1112.13	1126.98	1162.66	997.044	877.013	768.631	769.583	852.159
CNAG_00010	674.853	2498.5	1527.58	1783.34	1581.42	2169.55	2093.48	1903.94	1493.91	1339.9	1287.61	1330.82	1143.44	1091.26	1224.96	1307.6	1090.62	1065.72	1092.36	1180.11	1173.66	1159.51	1191.39	1085.24
CNAG_00011	886.359	210.772	163.915	241.614	282.239	362.513	426.079	397.095	371.171	382.567	389.988	421.533	402.467	504.6	490.187	502.56	467.994	470.628	533.694	567.911	605.372	557.726	500.143	483.031
CNAG_00012	649.173	318.13	140.063	476.664	736.32	810.294	801.519	759.538	699.109	717.592	921.105	1021.39	1198.16	1335.32	1164.08	1027.66	1004.33	1069.98	1062.67	1131.49	1174.83	1072.99	1066.57	993.135
CNAG_00013	108.646	118.435	194.177	348.303	374.615	244.826	197.354	179.713	244.307	270.423	259.116	294.538	292.042	253.991	256.874	239.298	289.193	324.024	258.55	279.258	303.091	281.787	234.262	298.515
CNAG_00014	349.884	142.203	258.059	399.722	265.118	263.409	199.211	194.853	236.745	207.278	192.613	237.767	197.661	217.82	197.17	232.054	250.753	215.269	216.042	248.693	217.467	204.983	246.939	210.174
CNAG_00015	274.466	27.3434	96.4208	104.827	86.7583	80.6812	43.2407	55.0639	63.5708	73.2186	99.1182	96.904	101.397	88.6587	87.9305	127.609	103.43	97.2371	118.393	122.047	108.656	135.916	118.795	156.088
CNAG_00016	955.221	315.588	225.9	478.115	567.773	681.922	888.017	1142.58	908.447	880.454	978.213	818.032	1052.18	1052.59	1094.58	1418.67	1003.58	941.255	973.044	955.705	1013.26	1135.14	1150.93	1060.98
CNAG_00017	106.245	115.07	85.4013	155.963	121.901	99.4699	120.23	98.4796	129.192	104.337	98.1919	84.791	82.6772	93.3746	86.9198	114.218	102.406	108.906	101.744	92.5193	86.2353	106.858	112.769	104.411
CNAG_00018	93.4563	167.478	92.2885	443.598	654.531	581.346	588.496	510.4	632.632	676.357	492.812	541.048	679.357	539.498	557.904	385.191	511.005	594.119	563.292	534.447	522.586	502.422	491.535	471.429
CNAG_00019	1263.14	1801.24	1668.08	1511.05	1468.3	1630.2	2009.11	3169.35	2597.17	2538.86	2054.62	1863.79	1935.12	1801.47	2075.97	2254.43	2142.33	2126.58	1767.57	1643.69	1803.18	2005.94	2107.32	2055.52
CNAG_00020	235.116	464.837	115.705	209.655	276.748	371.354	439.79	784.66	950.485	839.268	493.738	439.298	644.259	675.315	802.492	705.79	641.06	643.71	584.566	648.62	657.113	779.879	812.625	770.951
CNAG_00021	410.224	2524.7	3231.47	3050.22	3811.88	5625.58	6552.55	5719.23	4047	3303.07	2438.12	2373.34	2612.13	3154.93	2994.69	2537.22	2076.79	2039.06	2016.38	2385.82	2460.29	2341.51	2181.35	1936.34
CNAG_00022	231.181	689.281	871.919	1551.95	1805.45	1868.93	1856.19	1778.99	1624.13	1714.23	1833.22	1909.82	1744.02	1776.95	1626.21	1576.21	1340.49	1424.52	1267.18	1224.4	1343.55	1196.07	1193.97	1134.81
CNAG_00023	247.905	254.066	78.5141	92.0435	48.3211	41.9984	20.0384	46.5925	60.4948	45.7616	36.1272	57.3349	50.6983	23.5794	45.4813	55.1398	45.0585	48.6186	58.2716	65.9446	65.5388	40.3063	56.8149	49.5686
CNAG_00024	17344.4	32414.6	34821.8	21185.2	27803.5	43315.6	53086.3	55199.7	43542.7	33999.5	25838.8	23247.8	23618.9	26009	27341.7	23290.5	18109.3	16920.2	18373.8	20680.9	20725.7	21016.7	22655.3	19757.6
CNAG_00025	4590.26	1970.87	5216.22	3729.16	2198.38	867.82	791.632	655.165	916.806	1112.45	1334.4	1221.3	1203.8	1062.12	963.845	1156.9	1196.25	1245.61	1359.02	1279.68	1021.15	1068.35	1027.05	1119.28
CNAG_00026	7360.42	11021.7	17358.5	12305.7	9752.08	10217.8	11945	11774.1	10354.9	11229.9	12156.3	11929.7	10636.5	11743.5	10865	10878.3	9450	9052.78	8945.16	9303.12	9302.2	9276.07	9055.09	8743.06
CNAG_00027	1109.67	86.5873	55.0976	129.117	172.418	203.361	180.345	182.134	286.068	289.214	367.756	398.922	383.747	397.078	342.626	370.224	361.492	374.363	369.054	347.44	342.354	374.942	360.688	334.325
CNAG_00028	423.996	584.465	1144.65	1022.71	618.29	542.664	632.791	480.75	538.301	496.056	445.569	495.826	416.506	427.26	397.203	351.319	444.441	457.014	412.526	433.069	391.508	437.745	403.73	396.549
CNAG_00029	149.53	189.125	265.846	117.611	82.3655	92.8386	98.0826	97.4207	90.2295	101.591	86.1495	80.7534	78.7774	93.3746	83.8877	80.3466	99.3336	89.4581	86.02	105.315	90.5471	94.6729	78.3357	91.7547
CNAG_00030	23.489	38.4428	33.6971	76.2185	46.01	19.1307	31.2653	24.3552	22.6607	53.4591	66.6405	53.0917	52.7632	50.7114	31.9932	30.6615	58.2029	77.3978	60.0543	80.6845	57.6418	66.0401	57.3048	84.1965
CNAG_00031	485.11	231.573	390.554	743.224	806.199	694.842	615.236	488.163	596.641	670.49	638.303	771.4	724.091	750.047	647.194	582.966	592.074	619.792	599.433	630.927	601.196	612.605	605.535	582.344
