index	Bristow2014_filter	ClN/CLBs_filter	Wavepool_filter	Orlando2008_filter	Kelliher2016_filter	dlxjtk_sort	wavepool_alphabetical_sort	wp_1stper_r2
MIH1					Budding/DNA Replication/Mitosis - NonPer	1.75E+12		
CHS3	Bristow2014			Orlando2008	Budding/Mitosis - NonPer	1790201.117		
LRG1	Bristow2014			Orlando2008	Budding/Mitosis - NonPer	2.76E+11		
CBK1	Bristow2014				Budding/Mitosis - NonPer	7.64E+11		
RHO1	Bristow2014				Budding/Mitosis - NonPer	1.30E+12		
CYK3				Orlando2008	Budding/Mitosis - NonPer	4525040.564		
CTS1				Orlando2008	Budding/Mitosis - NonPer	160.29818		
ROM2				Orlando2008	Budding/Mitosis - NonPer	1.27E+12		
EGT2				Orlando2008	Budding/Mitosis - NonPer	3103.807683		
DSE4				Orlando2008	Budding/Mitosis - NonPer	38.87212484		
MYO4					Budding/Mitosis - NonPer	1.37E+12		
SEC3					Budding/Mitosis - NonPer	1.20E+12		
MOB2					Budding/Mitosis - NonPer	5.45E+11		
ACT1					Budding/Mitosis - NonPer	1.78E+12		
MLC1					Budding/Mitosis - NonPer	1.74E+12		
KIC1					Budding/Mitosis - NonPer	5.24E+11		
BUD6					Budding/Mitosis - NonPer	1.76E+12		
TUS1					Budding/Mitosis - NonPer	1.74E+12		
BNI1					Budding/Mitosis - NonPer	1.64E+12		
CLA4					Budding/Mitosis - NonPer	11657273343		
MLC2					Budding/Mitosis - NonPer	8.45E+11		
SIR2					DNA Replication/Mitosis - NonPer	1.55E+12		
RPD3					DNA Replication/Mitosis - NonPer	1.62E+12		
LTE1	Bristow2014			Orlando2008	Mitosis - NonPer	51580833.79		
KAP104	Bristow2014			Orlando2008	Mitosis - NonPer	75614927623		
MCM21	Bristow2014			Orlando2008	Mitosis - NonPer	4.86E+11		
NKP1	Bristow2014			Orlando2008	Mitosis - NonPer	5.00E+11		
SPC25	Bristow2014			Orlando2008	Mitosis - NonPer	35236872.38		
MPS3	Bristow2014			Orlando2008	Mitosis - NonPer	8905067.219		
CIK1	Bristow2014			Orlando2008	Mitosis - NonPer	94858545.58		
SCW10	Bristow2014			Orlando2008	Mitosis - NonPer	18.32558697		
APC5	Bristow2014			Orlando2008	Mitosis - NonPer	1.00E+12		
CTF19	Bristow2014			Orlando2008	Mitosis - NonPer	46273549073		
KAR3	Bristow2014			Orlando2008	Mitosis - NonPer	209017.9842		
PPH21	Bristow2014				Mitosis - NonPer	3.56E+11		
DAD1	Bristow2014				Mitosis - NonPer	759538896.2		
CDC55	Bristow2014				Mitosis - NonPer	1.25E+12		
TAO3	Bristow2014				Mitosis - NonPer	2.13E+11		
CTF13	Bristow2014				Mitosis - NonPer	8.97E+11		
SLI15				Orlando2008	Mitosis - NonPer	65553607.62		
TOS1				Orlando2008	Mitosis - NonPer	13018193.88		
RAD61				Orlando2008	Mitosis - NonPer	53580590996		
SCC2				Orlando2008	Mitosis - NonPer	7812678309		
DAD4				Orlando2008	Mitosis - NonPer	2.82E+11		
DSE1				Orlando2008	Mitosis - NonPer	96.70100396		
CNN1				Orlando2008	Mitosis - NonPer	61009087177		
RRD1				Orlando2008	Mitosis - NonPer	1.76E+12		
NCA3				Orlando2008	Mitosis - NonPer	7.277945228		
DAD2				Orlando2008	Mitosis - NonPer	1664146142		
APC2				Orlando2008	Mitosis - NonPer	22762910680		
MCM1				Orlando2008	Mitosis - NonPer	1.52E+12		
DSK2				Orlando2008	Mitosis - NonPer	805422799.3		
KAR1				Orlando2008	Mitosis - NonPer	7.08E+11		
CHS1				Orlando2008	Mitosis - NonPer	524785.111		
RPT4				Orlando2008	Mitosis - NonPer	6273611349		
DSE3				Orlando2008	Mitosis - NonPer	30534.47484		
NSL1				Orlando2008	Mitosis - NonPer	3.16E+11		
TPD3					Mitosis - NonPer	1.37E+12		
SPC72					Mitosis - NonPer	3.84E+11		
CDC15					Mitosis - NonPer	1.49E+12		
CDC27					Mitosis - NonPer	1.56E+12		
AME1					Mitosis - NonPer	1.53E+12		
BIK1					Mitosis - NonPer	4.78E+11		
APC11					Mitosis - NonPer	1.74E+12		
CDC48					Mitosis - NonPer	7151719397		
SCM3					Mitosis - NonPer	1.39E+12		
PPH22					Mitosis - NonPer	1.28E+11		
ARP10					Mitosis - NonPer	1.76E+12		
FOB1					Mitosis - NonPer	96254644718		
APC4					Mitosis - NonPer	1.49E+12		
SPC19					Mitosis - NonPer	9.04E+11		
SWM1					Mitosis - NonPer	1.05E+12		
SSD1					Mitosis - NonPer	1.71E+12		
SKP1					Mitosis - NonPer	1.53E+12		
DYN2					Mitosis - NonPer	1.64E+12		
LRS4					Mitosis - NonPer	1.78E+12		
KRE28					Mitosis - NonPer	79793939007		
RAD23					Mitosis - NonPer	6.65E+11		
NUP157					Mitosis - NonPer	1.78E+12		
SCC4					Mitosis - NonPer	6.66E+11		
CDH1					Mitosis - NonPer	1.72E+12		
MAD1					Mitosis - NonPer	1.57E+12		
DOC1					Mitosis - NonPer	34323401586		
CRM1					Mitosis - NonPer	1.78E+12		
DMA1					Mitosis - NonPer	1.74E+12		
NBL1					Mitosis - NonPer	1.70E+12		
MND2					Mitosis - NonPer	1.21E+12		
MAD2					Mitosis - NonPer	1.48E+12		
NET1					Mitosis - NonPer	1.71E+12		
CBF1					Mitosis - NonPer	1.44E+12		
BIR1					Mitosis - NonPer	8.65E+11		
CDC16					Mitosis - NonPer	7.86E+11		
HSK3					Mitosis - NonPer	9.98E+11		
HYM1					Mitosis - NonPer	1.56E+12		
LDB18					Mitosis - NonPer	5.76E+11		
POM34					Mitosis - NonPer	1.77E+12		
NKP2					Mitosis - NonPer	2.42E+11		
POM152					Mitosis - NonPer	1.78E+12		
CEP3					Mitosis - NonPer	1.40E+12		
ZDS1					Mitosis - NonPer	1.32E+12		
JNM1					Mitosis - NonPer	7.26E+11		
SUN4					Mitosis - NonPer	83263956.04		
IBD2					Mitosis - NonPer	3.23E+11		
PSH1					Mitosis - NonPer	7.98E+11		
